code_id,code
1,"def _initialize_bagit(self):  
        
        self.self_check()
        bagit = os.path.join(self.folder, ""bagit.txt"")
        
        
        with open(bagit, ""w"", encoding=ENCODING, newline=) as bag_it_file:
            
            bag_it_file.write(u""BagIt-Version: 0.97\n"")
            bag_it_file.write(u""Tag-File-Character-Encoding: %s\n"" % ENCODING)"
2,"def _add_common_constrain(token_lst: List[Dict], d: Dict) -> List[Dict]:
        

        result = []
        for a_token in token_lst:
            if not tf_transfer(d[""is_required""]):
                a_token[""OP""] = ""?""
            result.append(a_token)
        return result"
3,"def closest_cell_center(self,x,y):
        
        return self.matrixidx2sheet(*self.sheet2matrixidx(x,y))"
4,"def init_color_symbols(self):
        
        
        if self.is_prod:
            return
        keys = [
            , , , , ,
            , , , , ,
            , , , , ,
            , , , , ,
        ]

        _symbols = [ for _ in keys]
        
        txt = self.cfg.get(, )
        if txt:
            sym = txt.split()[0].split()
            _symbols = sym + _symbols[len(sym):]

        for i, k in enumerate(keys):
            if k in [, ]:
                self.symbols[k] = R.format(_symbols[i])
            else:
                self.symbols[k] = G.format(_symbols[i])"
5,"def sources(source_id=None, **kwargs):
    
    if source_id or  in kwargs:
        return source(source_id, **kwargs)
    return Fred().sources(**kwargs)"
6,"def retrieveVals(self):
        
        ntpinfo = NTPinfo()
        stats = ntpinfo.getHostOffset(self._remoteHost)
        if stats:
            graph_name =  % self._remoteHost
            if self.hasGraph(graph_name):
                self.setGraphVal(graph_name, , stats.get())
            graph_name =  % self._remoteHost
            if self.hasGraph(graph_name):
                self.setGraphVal(graph_name, , stats.get())
                self.setGraphVal(graph_name, , stats.get())"
7,"def connect_route53(aws_access_key_id=None, aws_secret_access_key=None, **kwargs):
    
    from boto.route53 import Route53Connection
    return Route53Connection(aws_access_key_id, aws_secret_access_key, **kwargs)"
8,"def _browse(cls, env, ids, from_record=None, iterated=None):
        
        records = cls()
        records._env_local = env
        records._ids = _normalize_ids(ids)
        if iterated:
            records._values = iterated._values
            records._values_to_write = iterated._values_to_write
        else:
            records._from_record = from_record
            records._values = {}
            records._values_to_write = {}
            for field in cls._columns:
                records._values[field] = {}
                records._values_to_write[field] = {}
            records._init_values()
        return records"
9,"def run(url, output, config):
    
    parsed_url = urlparse.urlparse(url)
    db_module_path = SUPPORTED_DATABASE_MODULES.get(parsed_url.scheme)
    if not db_module_path:
        raise ValueError(""Unsupported database scheme: "" % (parsed_url.scheme,))
    db_module = importlib.import_module(db_module_path)
    session.reset()
    for line in db_module.sanitize(url=parsed_url, config=config):
        output.write(line + ""\n"")"
10,"def kill_process(modeladmin, request, queryset):
    
    for process in queryset:
        process.stop(signum=signal.SIGKILL)"
11,"def get_lock(key, value=None, expiry_time=60):
    
    from uliweb.utils.common import get_uuid

    redis = get_redis()
    value = value or get_uuid()
    return redis.set(key, value, ex=expiry_time, nx=True)"
