code,query
"def foreachBatch(self, func):
        

        from pyspark.java_gateway import ensure_callback_server_started
        gw = self._spark._sc._gateway
        java_import(gw.jvm, ""org.apache.spark.sql.execution.streaming.sources.*"")

        wrapped_func = ForeachBatchFunction(self._spark, func)
        gw.jvm.PythonForeachBatchHelper.callForeachBatch(self._jwrite, wrapped_func)
        ensure_callback_server_started(gw)
        return self","Sets the output of the streaming query to be processed using the provided
        function. This is supported only the in the micro-batch execution modes (that is, when the
        trigger is not continuous). In every micro-batch, the provided function will be called in
        every micro-batch with (i) the output rows as a DataFrame and (ii) the batch identifier.
        The batchId can be used deduplicate and transactionally write the output
        (that is, the provided Dataset) to external systems. The output DataFrame is guaranteed
        to exactly same for the same batchId (assuming all operations are deterministic in the
        query).

        .. note:: Evolving.

        >>> def func(batch_df, batch_id):
        ...     batch_df.collect()
        ...
        >>> writer = sdf.writeStream.foreach(func)"
"def _organize_variants(samples, batch_id):
    
    caller_names = [x[""variantcaller""] for x in samples[0][""variants""]]
    calls = collections.defaultdict(list)
    for data in samples:
        for vrn in data[""variants""]:
            calls[vrn[""variantcaller""]].append(vrn[""vrn_file""])
    data = samples[0]
    vrn_files = []
    for caller in caller_names:
        fnames = calls[caller]
        if len(fnames) == 1:
            vrn_files.append(fnames[0])
        else:
            vrn_files.append(population.get_multisample_vcf(fnames, batch_id, caller, data))
    return caller_names, vrn_files","Retrieve variant calls for all samples, merging batched samples into single VCF."
"def resolve_aliases(data_type):
    
    if not is_alias(data_type):
        return data_type

    resolved = resolve_aliases(data_type.data_type)
    data_type.data_type = resolved

    return resolved","Resolve all chained / nested aliases. This will recursively point
    nested aliases to their resolved data type (first non-alias in the chain).

    Note: This differs from unwrap_alias which simply identifies/returns
    the resolved data type.

    Args:
        data_type (DataType): The target DataType/Alias to resolve.
    Return:
        DataType: The resolved type."
"def do_where(self, taskid: int) -> None:
        
        task = task_by_id(taskid, self._loop)
        if task:
            self._sout.write(_format_stack(task))
            self._sout.write()
        else:
            self._sout.write( % taskid)",Show stack frames for a task
"def check_import():
    
    try:
        import aeneas
        print_success(u""aeneas         OK"")
        return False
    except ImportError:
        print_error(u""aeneas         ERROR"")
        print_info(u""  Unable to load the aeneas Python package"")
        print_info(u""  This error is probably caused by:"")
        print_info(u""    A. you did not download/git-clone the aeneas package properly; or"")
        print_info(u""    B. you did not install the required Python packages:"")
        print_info(u""      1. BeautifulSoup4"")
        print_info(u""      2. lxml"")
        print_info(u""      3. numpy"")
    except Exception as e:
        print_error(e)
    return True",Try to import the aeneas package and return ``True`` if that fails.
"def make_systemrestoreitem_originalfilename(original_filename, condition=, negate=False, preserve_case=False):
    
    document = 
    search = 
    content_type = 
    content = original_filename
    ii_node = ioc_api.make_indicatoritem_node(condition, document, search, content_type, content,
                                              negate=negate, preserve_case=preserve_case)
    return ii_node","Create a node for SystemRestoreItem/OriginalFileName
    
    :return: A IndicatorItem represented as an Element node"
"def oai_bucket_policy_present(name, Bucket, OAI, Policy,
                              region=None, key=None, keyid=None, profile=None):
    
    ret = {: name, : True, : , : {}}
    oais = __salt__[](
            Comment=OAI, region=region, key=key, keyid=keyid, profile=profile)
    if len(oais) > 1:
        msg = .format(OAI)
        log.error(msg)
        ret[] = msg
        ret[] = False
        return ret
    if not oais:
        msg = .format(OAI)
        log.error(msg)
        ret[] = msg
        ret[] = False
        return ret
    canonical_user = oais[0].get()
    oai_id = oais[0].get()
    if isinstance(Policy, six.string_types):
        Policy = json.loads(Policy)
    for stanza in range(len(Policy.get(, []))):
        if  not in Policy[][stanza]:
            Policy[][stanza][] = {""CanonicalUser"": canonical_user}
    bucket = __salt__[](Bucket=Bucket, region=region, key=key,
            keyid=keyid, profile=profile)
    if not bucket or  not in bucket:
        msg = .format(Bucket)
        log.error(msg)
        ret[] = msg
        ret[] = False
        return ret
    curr_policy = bucket[].get(, {}).get(, {})  
    return ret","Ensure the given policy exists on an S3 bucket, granting access for the given origin access
    identity to do the things specified in the policy.

    name
        The name of the state definition

    Bucket
        The S3 bucket which CloudFront needs access to. Note that this policy
        is exclusive - it will be the only policy definition on the bucket (and
        objects inside the bucket if you specify such permissions in the
        policy). Note that this likely SHOULD reflect the bucket mentioned in
        the Resource section of the Policy, but this is not enforced...

    OAI
        The value of `Name` passed to the state definition for the origin
        access identity which will be accessing the bucket.

    Policy
        The full policy document which should be set on the S3 bucket. If a
        ``Principal`` clause is not provided in the policy, one will be
        automatically added, and pointed at the correct value as dereferenced
        from the OAI provided above. If one IS provided, then this is not
        done, and you are responsible for providing the correct values.

    region (string)
        Region to connect to.

    key (string)
        Secret key to use.

    keyid (string)
        Access key to use.

    profile (dict or string)
        Dict, or pillar key pointing to a dict, containing AWS region/key/keyid.

    Example:

    .. code-block:: yaml

        my_oai_s3_policy:
          boto_cloudfront.oai_bucket_policy_present:
          - Bucket: the_bucket_for_my_distribution
          - OAI: the_OAI_I_just_created_and_attached_to_my_distribution
          - Policy:
              Version: 2012-10-17
              Statement:
              - Effect: Allow
                Action: s3:GetObject
                Resource: arn:aws:s3:::the_bucket_for_my_distribution/*"
"def _set_ipv6_phy_intf_cmds(self, v, load=False):
    
    if hasattr(v, ""_utype""):
      v = v._utype(v)
    try:
      t = YANGDynClass(v,base=ipv6_phy_intf_cmds.ipv6_phy_intf_cmds, is_container=, presence=False, yang_name=""ipv6-phy-intf-cmds"", rest_name="""", parent=self, path_helper=self._path_helper, extmethods=self._extmethods, register_paths=True, extensions={u: {u: u, u: None, u: u}}, namespace=, defining_module=, yang_type=, is_config=True)
    except (TypeError, ValueError):
      raise ValueError({
          : ,
          : ""container"",
          : ,
        })

    self.__ipv6_phy_intf_cmds = t
    if hasattr(self, ):
      self._set()","Setter method for ipv6_phy_intf_cmds, mapped from YANG variable /interface/fortygigabitethernet/ipv6/ipv6_phy_intf_cmds (container)
    If this variable is read-only (config: false) in the
    source YANG file, then _set_ipv6_phy_intf_cmds is considered as a private
    method. Backends looking to populate this variable should
    do so via calling thisObj._set_ipv6_phy_intf_cmds() directly."
"def log_formatter(request=None):
    

    if request:
        format_str = (
                      
                      )
    else:
        format_str = 

    try:
        hostname = socket.gethostname()
    except socket.gaierror:
        hostname = 

    try:
        ip = socket.gethostbyname(hostname)
    except socket.gaierror:
        ip = 

    formatter = logging.Formatter(
            format_str.format(ip=ip, name=options.name, env=options.env),
            datefmt=)
    logging.Formatter.converter = time.gmtime

    return formatter","Log formatter used in our syslog

    :param request: a request object
    :returns: logging.Formatter"
"def resolve(self, _):
        
        if self.default_value == DUMMY_VALUE:
            if self.name in os.environ:
                return os.environ[self.name]
            else:
                raise VelException(f""Undefined environment variable: {self.name}"")
        else:
            return os.environ.get(self.name, self.default_value)",Resolve given variable
